tanggal,tahun,bulan,daerah,jumlah_kecelakaan,korban_meninggal,korban_luka_berat,korban_luka_ringan,cuaca,waktu_kejadian,jenis_kendaraan,penyebab_kecelakaan,jenis_jalan,kondisi_jalan,kecepatan_pengendara,geometri_jalan,jenis_kelamin_pengemudi,usia_pengemudi,pengaruh_alkohol,jenis_angkutan,status_kecelakaan,status_korban,eligible_santunan,dasar_hukum,jenis_santunan,estimasi_biaya_santunan
10/10/2025,2025,10,Makassar,859,403,22,45,Cerah,Pagi,Motor,Kondisi Jalan,Jalan Nasional,Berlubang,40-60,Tikungan,Laki-laki,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,22150000000
4/27/2022,2022,4,Surabaya,325,139,28,22,Cerah,Siang,Mobil,Kecepatan Berlebih,Jalan Nasional,Berlubang,40-60,Simpang Y,Perempuan,17-25,Tidak,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
12/3/2022,2022,12,Semarang,726,307,22,28,Hujan,Dini Hari,Truk,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,<40,Simpang Y,Laki-laki,<17,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
9/7/2022,2022,9,Semarang,463,344,28,10,Hujan,Siang,Mobil,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,40-60,Lurus,Laki-laki,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,18800000000
8/6/2022,2022,8,Palembang,439,156,29,13,Hujan,Siang,Bus,Kecepatan Berlebih,Jalan Provinsi,Rusak,40-60,Simpang Y,Perempuan,>50,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,9510000000
9/26/2025,2025,9,Semarang,765,261,30,11,Hujan,Dini Hari,Truk,Rem Blong,Jalan Kota,Berlubang,<40,Simpang T,Laki-laki,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,14770000000
7/3/2023,2023,7,Jakarta Selatan,561,232,29,12,Hujan,Siang,Truk,Kurang Jarak Aman,Jalan Nasional,Rusak,40-60,Simpang T,Perempuan,>50,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,13290000000
4/15/2024,2024,4,Medan,693,121,24,15,Cerah,Siang,Truk,Kurang Jarak Aman,Jalan Kota,Berlubang,<40,Simpang 4,Perempuan,17-25,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
9/17/2021,2021,9,Surabaya,388,253,25,13,Hujan,Dini Hari,Bus,Kelalaian Pengemudi,Jalan Kota,Berlubang,40-60,Tikungan,Laki-laki,<17,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,14160000000
11/22/2022,2022,11,Surabaya,484,405,29,24,Hujan,Dini Hari,Truk,Kurang Jarak Aman,Jalan Provinsi,Berlubang,<40,Simpang T,Laki-laki,>50,Tidak,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
6/23/2021,2021,6,Palembang,454,103,29,10,Cerah,Pagi,Bus,Kurang Jarak Aman,Jalan Provinsi,Berlubang,40-60,Lurus,Perempuan,17-25,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,6800000000
4/13/2023,2023,4,Bandung,468,480,20,62,Cerah,Dini Hari,Mobil,Kurang Jarak Aman,Jalan Kota,Rusak,40-60,Simpang Y,Laki-laki,<17,Tidak,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
4/17/2024,2024,4,Jakarta Selatan,545,478,27,44,Hujan,Dini Hari,Motor,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,40-60,Simpang 4,Perempuan,>50,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
10/15/2025,2025,10,Palembang,827,391,23,57,Hujan,Pagi,Mobil,Kurang Jarak Aman,Jalan Kota,Rusak,<40,Simpang 4,Laki-laki,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,21840000000
6/10/2025,2025,6,Bekasi,957,418,30,14,Hujan,Pagi,Motor,Rem Blong,Jalan Provinsi,Berlubang,40-60,Lurus,Perempuan,>50,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,22680000000
3/15/2021,2021,3,Jakarta Timur,191,160,27,40,Hujan,Dini Hari,Truk,Kondisi Jalan,Jalan Provinsi,Berlubang,<40,Simpang Y,Laki-laki,17-25,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,10150000000
7/10/2023,2023,7,Palembang,551,441,21,18,Cerah,Dini Hari,Truk,Rem Blong,Jalan Nasional,Rusak,<40,Lurus,Perempuan,26-45,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,23460000000
2/8/2022,2022,2,Palembang,382,186,26,31,Cerah,Malam,Motor,Rem Blong,Jalan Kota,Baik,>60,Simpang Y,Laki-laki,26-45,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,11220000000
8/24/2024,2024,8,Makassar,757,180,22,5,Cerah,Pagi,Truk,Kelalaian Pengemudi,Jalan Provinsi,Rusak,>60,Simpang T,Perempuan,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,10200000000
4/15/2023,2023,4,Palembang,535,253,20,4,Hujan,Dini Hari,Bus,Kondisi Jalan,Jalan Nasional,Rusak,40-60,Simpang T,Laki-laki,<17,Ya,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,13730000000
5/5/2025,2025,5,Bandung,678,313,22,2,Hujan,Dini Hari,Truk,Kelalaian Pengemudi,Jalan Provinsi,Berlubang,40-60,Simpang T,Laki-laki,>50,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,16790000000
9/3/2024,2024,9,Yogyakarta,766,324,24,3,Hujan,Siang,Bus,Kondisi Jalan,Jalan Kota,Baik,>60,Lurus,Laki-laki,17-25,Tidak,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,17460000000
11/24/2022,2022,11,Jakarta Selatan,410,316,27,46,Cerah,Dini Hari,Motor,Kelalaian Pengemudi,Jalan Provinsi,Rusak,>60,Lurus,Perempuan,>50,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,18070000000
6/9/2022,2022,6,Bandung,509,120,26,10,Cerah,Pagi,Truk,Kelalaian Pengemudi,Jalan Nasional,Berlubang,<40,Lurus,Perempuan,>50,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,7500000000
7/2/2024,2024,7,Yogyakarta,661,358,23,21,Cerah,Malam,Bus,Kecepatan Berlebih,Jalan Provinsi,Berlubang,<40,Lurus,Perempuan,>50,Tidak,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,19470000000
10/10/2022,2022,10,Surabaya,468,380,21,7,Cerah,Malam,Motor,Rem Blong,Jalan Nasional,Berlubang,<40,Lurus,Perempuan,17-25,Ya,pribadi,tunggal,pengemudi,tidak,tidak_dijamin,tidak_ada,0
9/22/2021,2021,9,Bandung,411,303,25,29,Hujan,Dini Hari,Mobil,Kondisi Jalan,Jalan Provinsi,Baik,>60,Simpang 4,Laki-laki,>50,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,16980000000
1/8/2021,2021,1,Surabaya,151,477,30,7,Cerah,Malam,Motor,Pelanggaran Lalu Lintas,Jalan Kota,Berlubang,40-60,Simpang 4,Laki-laki,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,25490000000
7/1/2024,2024,7,Bandung,664,105,22,5,Hujan,Dini Hari,Truk,Kondisi Jalan,Jalan Nasional,Berlubang,40-60,Simpang T,Laki-laki,>50,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,6450000000
2/6/2022,2022,2,Surabaya,371,296,25,5,Hujan,Malam,Truk,Kelalaian Pengemudi,Jalan Nasional,Baik,40-60,Tikungan,Laki-laki,<17,Ya,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,16150000000
6/16/2025,2025,6,Jakarta Timur,913,275,20,30,Cerah,Pagi,Bus,Pelanggaran Lalu Lintas,Jalan Provinsi,Berlubang,40-60,Simpang Y,Laki-laki,17-25,Tidak,umum,multi_kendaraan,penumpang,ya,UU 33/1964,meninggal,15350000000
9/14/2021,2021,9,Semarang,275,463,21,45,Hujan,Siang,Motor,Kurang Jarak Aman,Jalan Provinsi,Baik,40-60,Lurus,Perempuan,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,25100000000
8/30/2022,2022,8,Yogyakarta,476,305,22,5,Hujan,Malam,Motor,Rem Blong,Jalan Kota,Rusak,40-60,Simpang 4,Laki-laki,<17,Tidak,pribadi,multi_kendaraan,pengemudi,ya,UU 34/1964,meninggal,16450000000
