tanggal,tahun,bulan,daerah,jumlah_kecelakaan,korban_meninggal,korban_luka_berat,korban_luka_ringan,cuaca,waktu_kejadian,jenis_kendaraan,penyebab_kecelakaan,jenis_jalan,kondisi_jalan,kecepatan_pengendara,geometri_jalan,jenis_kelamin_pengemudi,usia_pengemudi,pengaruh_alkohol
10/10/2025,2025,10,Makassar,2218,403,22,45,Cerah,Pagi,Motor,Kondisi Jalan,Jalan Nasional,Berlubang,40-60,Tikungan,Laki-laki,26-45,Ya
4/27/2022,2022,04,Surabaya,2882,139,28,22,Cerah,Siang,Mobil,Kecepatan Berlebih,Jalan Nasional,Berlubang,40-60,Simpang Y,Perempuan,17-25,Tidak
12/3/2022,2022,12,Semarang,1972,307,22,28,Hujan,Dini Hari,Truk,Pelanggaran Lalu Lintas,Jalan Provinsi,Rusak,<40,Simpang Y,Laki-laki,<17,Ya
9/7/2022,2022,09,Semarang,2136,344,28,10,Hujan,Siang,Mobil,Pelanggaran Lalu Lintas,Jalan Nasional,Baik,40-60,Lurus,Laki-laki,<17,Tidak
8/6/2022,2022,08,Palembang,4890,156,29,13,Hujan,Siang,Bus,Kecepatan Berlebih,Jalan Provinsi,Rusak,40-60,Simpang Y,Perempuan,>50,Ya
9/26/2025,2025,09,Semarang,1578,261,30,11,Hujan,Dini Hari,Truk,Rem Blong,Jalan Kota,Berlubang,<40,Simpang T,Laki-laki,<17,Ya
7/3/2023,2023,07,Jakarta Selatan,1267,232,29,12,Hujan,Siang,Truk,Kurang Jarak Aman,Jalan Nasional,Rusak,40-60,Simpang T,Perempuan,>50,Ya
4/15/2024,2024,04,Medan,2389,121,24,15,Cerah,Siang,Truk,Kurang Jarak Aman,Jalan Kota,Berlubang,<40,Simpang 4,Perempuan,17-25,Ya
9/17/2021,2021,09,Surabaya,2082,253,25,13,Hujan,Dini Hari,Bus,Kelalaian Pengemudi,Jalan Kota,Berlubang,40-60,Tikungan,Laki-laki,<17,Ya
11/22/2022,2022,11,Surabaya,4659,405,29,24,Hujan,Dini Hari,Truk,Kurang Jarak Aman,Jalan Provinsi,Berlubang,<40,Simpang T,Laki-laki,>50,Tidak
6/23/2021,2021,06,Palembang,2520,103,29,10,Cerah,Pagi,Bus,Kurang Jarak Aman,Jalan Provinsi,Berlubang,40-60,Lurus,Perempuan,17-25,Ya
4/13/2023,2023,04,Bandung,4062,480,20,62,Cerah,Dini Hari,Mobil,Kurang Jarak Aman,Jalan Kota,Rusak,40-60,Simpang Y,Laki-laki,<17,Tidak
4/17/2024,2024,04,Jakarta Selatan,3450,478,27,44,Hujan,Dini Hari,Motor,Pelanggaran Lalu Lintas,Jalan Nasional,Rusak,40-60,Simpang 4,Perempuan,>50,Ya
10/15/2025,2025,10,Palembang,2622,391,23,57,Hujan,Pagi,Mobil,Kurang Jarak Aman,Jalan Kota,Rusak,<40,Simpang 4,Laki-laki,26-45,Ya
6/10/2025,2025,06,Bekasi,3789,418,30,14,Hujan,Pagi,Motor,Rem Blong,Jalan Provinsi,Berlubang,40-60,Lurus,Perempuan,>50,Tidak
3/15/2021,2021,03,Jakarta Timur,2433,160,27,40,Hujan,Dini Hari,Truk,Kondisi Jalan,Jalan Provinsi,Berlubang,<40,Simpang Y,Laki-laki,17-25,Ya
7/10/2023,2023,07,Palembang,2846,441,21,18,Cerah,Dini Hari,Truk,Rem Blong,Jalan Nasional,Rusak,<40,Lurus,Perempuan,26-45,Tidak
2/8/2022,2022,02,Palembang,1330,186,26,31,Cerah,Malam,Motor,Rem Blong,Jalan Kota,Baik,>60,Simpang Y,Laki-laki,26-45,Ya
8/24/2024,2024,08,Makassar,1346,180,22,5,Cerah,Pagi,Truk,Kelalaian Pengemudi,Jalan Provinsi,Rusak,>60,Simpang T,Perempuan,<17,Tidak
4/15/2023,2023,04,Palembang,3065,253,20,4,Hujan,Dini Hari,Bus,Kondisi Jalan,Jalan Nasional,Rusak,40-60,Simpang T,Laki-laki,<17,Ya
5/5/2025,2025,05,Bandung,1092,313,22,2,Hujan,Dini Hari,Truk,Kelalaian Pengemudi,Jalan Provinsi,Berlubang,40-60,Simpang T,Laki-laki,>50,Tidak
9/3/2024,2024,09,Yogyakarta,1152,324,24,3,Hujan,Siang,Bus,Kondisi Jalan,Jalan Kota,Baik,>60,Lurus,Laki-laki,17-25,Tidak
11/24/2022,2022,11,Jakarta Selatan,3078,316,27,46,Cerah,Dini Hari,Motor,Kelalaian Pengemudi,Jalan Provinsi,Rusak,>60,Lurus,Perempuan,>50,Ya
